epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
45,111.09,0.75826,0.88811,1.07054,0.97587,0.9728,0.995,0.86299,0.59224,0.49878,0.97754,0.00056,0.00056,0.00056
46,113.445,0.73418,0.82573,1.05102,0.96894,1,0.995,0.86152,0.61703,0.47434,0.98718,0.00055,0.00055,0.00055
47,115.795,0.74012,0.78841,1.04168,0.95878,1,0.995,0.86516,0.61249,0.45248,0.98078,0.00054,0.00054,0.00054
48,118.152,0.72593,0.8353,1.03186,0.97661,1,0.995,0.8533,0.59963,0.47852,0.96618,0.00053,0.00053,0.00053
49,120.509,0.75405,0.81182,1.05446,0.98184,1,0.995,0.83096,0.68062,0.49296,1.01635,0.00052,0.00052,0.00052
50,122.989,0.77061,0.82106,1.0657,0.98115,1,0.995,0.84658,0.65147,0.48523,0.99771,0.00051,0.00051,0.00051
51,125.365,0.70945,0.74621,1.02617,0.97455,1,0.995,0.86187,0.59148,0.44359,0.97666,0.0005,0.0005,0.0005
52,127.745,0.72662,0.82832,1.05297,0.97313,1,0.995,0.86368,0.58941,0.44365,0.97329,0.00049,0.00049,0.00049
53,130.08,0.69527,0.77479,1.01457,0.98517,1,0.995,0.84,0.69273,0.46182,1.02787,0.00048,0.00048,0.00048
54,132.44,0.69506,0.76249,1.03334,0.98562,1,0.995,0.88314,0.59631,0.44003,0.97583,0.00047,0.00047,0.00047
55,134.933,0.72201,0.75522,1.04527,0.98306,1,0.995,0.88201,0.57622,0.43366,0.96993,0.00046,0.00046,0.00046
56,137.301,0.68014,0.74209,1.00272,0.96698,1,0.995,0.86511,0.58413,0.41759,0.98089,0.00045,0.00045,0.00045
57,139.667,0.7389,0.73858,1.04276,0.96264,1,0.995,0.87701,0.54598,0.40603,0.96332,0.00044,0.00044,0.00044
58,142.204,0.64407,0.69937,1.00317,0.97637,1,0.995,0.88391,0.563,0.40529,0.97177,0.00043,0.00043,0.00043
59,144.701,0.70167,0.73943,1.0427,0.97937,1,0.995,0.86001,0.60226,0.40284,0.98326,0.00042,0.00042,0.00042
60,147.37,0.68178,0.72226,1.00167,0.98364,1,0.995,0.87117,0.57431,0.4103,0.97714,0.00041,0.00041,0.00041
61,149.894,0.68123,0.72009,1.03295,0.98869,1,0.995,0.85684,0.60184,0.39474,0.98924,0.0004,0.0004,0.0004
62,152.381,0.66402,0.6801,1.0199,0.98415,1,0.995,0.82418,0.71231,0.41737,1.0422,0.00039,0.00039,0.00039
63,154.88,0.67546,0.6664,1.00313,0.98296,1,0.995,0.85251,0.67237,0.40376,1.02081,0.00038,0.00038,0.00038
64,157.517,0.62291,0.68277,0.98965,0.98661,1,0.995,0.8584,0.59109,0.39768,0.98623,0.00037,0.00037,0.00037
65,160.279,0.67127,0.69888,1.0243,0.98642,1,0.995,0.87146,0.58706,0.39678,0.97358,0.00036,0.00036,0.00036
66,162.896,0.64437,0.64265,1.00028,0.98493,1,0.995,0.87029,0.59848,0.40058,0.98407,0.00035,0.00035,0.00035
67,165.399,0.64746,0.69441,1.02418,0.98019,1,0.995,0.86316,0.58541,0.39879,0.98975,0.00034,0.00034,0.00034
68,167.821,0.64232,0.66468,1.01084,0.98191,1,0.995,0.88333,0.55534,0.38206,0.96472,0.00033,0.00033,0.00033
69,170.243,0.65443,0.68112,0.99981,0.9886,1,0.995,0.88848,0.54039,0.37638,0.96231,0.00032,0.00032,0.00032
70,172.888,0.6411,0.6756,1.00773,0.9885,1,0.995,0.90368,0.52554,0.38536,0.95379,0.00031,0.00031,0.00031
71,175.472,0.5925,0.63035,0.98191,0.98662,1,0.995,0.909,0.50651,0.3749,0.9415,0.0003,0.0003,0.0003
72,177.988,0.67839,0.6995,1.01195,0.98497,1,0.995,0.90955,0.48062,0.37094,0.93249,0.00029,0.00029,0.00029
73,180.547,0.63223,0.69305,0.96623,0.98445,1,0.995,0.89627,0.49232,0.36592,0.9387,0.00028,0.00028,0.00028
74,183.079,0.66684,0.70382,1.00168,0.98733,1,0.995,0.88989,0.51303,0.36816,0.93915,0.00027,0.00027,0.00027
75,185.611,0.65493,0.66685,1.00735,0.98695,1,0.995,0.88805,0.53245,0.36933,0.94129,0.00026,0.00026,0.00026
76,187.999,0.66963,0.65724,1.02302,0.97902,1,0.995,0.89043,0.54142,0.36925,0.94854,0.00025,0.00025,0.00025
